price,location,city,province_name,latitude,longitude,baths,area_sqft,bedrooms
15500000,31,0,0,31.409619,74.166126,5,2722.51,3
17600000,21,0,0,31.374195,74.191482,6,2722.51,5
65000000,15,0,0,31.5288,74.39312,5,5445.02,4
80000000,32,0,0,31.500556,74.367728,6,10890.04,5
13700000,28,0,0,31.550672,74.403963,6,3539.26,5
52500000,1,0,0,31.495909,74.350569,5,5445.02,5
34000000,33,0,0,31.452023,74.26255,5,5445.02,5
102500000,23,0,0,31.478745,74.407969,8,10890.04,7
11500000,34,0,0,31.426924,74.342333,4,1361.25,3
42500000,23,0,0,31.471571,74.445906,6,5445.02,5
200000000,35,0,0,31.435401,74.195094,10,21780.08,10
10000000,34,0,0,31.432105,74.349117,2,1361.25,2
11500000,34,0,0,31.433607,74.344912,4,1361.25,3
18800000,36,0,0,31.446824,74.404736,5,2722.51,4
11000000,21,0,0,31.3878231,74.19324493,3,1361.25,3
56000000,2,0,0,31.506483,74.286017,5,5445.02,5
23600000,23,0,0,31.462493,74.409342,6,2722.51,4
10900000,37,0,0,31.390645,74.252887,4,1361.25,4
5600000,38,0,0,31.410095,74.222553,4,816.75,3
33000000,23,0,0,31.462493,74.409342,5,2722.51,4
29500000,23,0,0,31.462493,74.409342,5,2722.51,4
75000000,15,0,0,31.5288,74.39312,6,7623.03,5
7900000,39,0,0,31.6064955,74.23177332,4,2722.51,3
45000000,23,0,0,31.487455,74.468894,6,5445.02,5
20000000,32,0,0,31.500556,74.367728,6,2722.51,6
100000000,32,0,0,31.500556,74.367728,6,10890.04,5
32500000,36,0,0,31.446824,74.404736,6,5445.02,5
34000000,36,0,0,31.446824,74.404736,6,5445.02,5
52500000,40,0,0,31.54916695,74.31801036,5,5445.02,5
160000000,1,0,0,31.505678,74.348202,5,10890.04,3
40000000,1,0,0,31.495909,74.350569,4,3811.51,4
52500000,1,0,0,31.495909,74.350569,6,5445.02,5
55000000,1,0,0,31.495909,74.350569,5,5445.02,5
37500000,1,0,0,31.495909,74.350569,4,3811.51,4
32000000,41,0,0,31.495427,74.423858,7,7078.53,5
10000000,42,0,0,31.484967,74.4104,3,1089.0,3
44500000,23,0,0,31.462493,74.409342,6,5445.02,5
33000000,36,0,0,31.446824,74.404736,6,5445.02,5
33500000,1,0,0,31.495909,74.350569,4,3811.51,4
200000000,15,0,0,31.5288,74.39312,6,8712.03,5
65000000,15,0,0,31.5288,74.39312,6,5445.02,5
6550000,4,0,0,31.470253,74.214306,2,1089.0,3
42500000,23,0,0,31.462493,74.409342,6,5445.02,5
39900000,23,0,0,31.462493,74.409342,6,2722.51,5
16900000,21,0,0,31.385627,74.196817,6,2178.01,5
7200000,4,0,0,31.381284,74.251868,2,1361.25,3
11500000,21,0,0,31.374249,74.176404,4,1361.25,3
17600000,21,0,0,31.364887,74.186554,6,2722.51,5
11000000,43,0,0,31.56069756,74.42132568,4,1633.51,3
5000000,44,0,0,31.482881,74.418933,4,680.63,3
26800000,45,0,0,31.420167,74.285746,6,5445.02,5
40000000,12,0,0,31.438916,74.211559,6,8712.03,5
4000000,46,0,0,31.425257,74.383922,2,816.75,2
32900000,23,0,0,31.471571,74.445906,5,2722.51,4
47000000,23,0,0,31.475378,74.373808,6,5445.02,5
37000000,23,0,0,31.471571,74.445906,6,5445.02,5
32500000,36,0,0,31.446824,74.404736,6,5445.02,5
37500000,23,0,0,31.478745,74.407969,6,5445.02,5
8200000,3,0,0,31.421266,74.283972,4,1089.0,4
70000000,23,0,0,31.486906,74.385896,8,11979.04,8
17500000,21,0,0,31.374195,74.191482,6,2722.51,5
62500000,23,0,0,31.471571,74.445906,6,5445.02,5
16000000,47,0,0,31.582612,74.416838,5,1905.76,5
44000000,23,0,0,31.471571,74.445906,6,5445.02,5
45000000,23,0,0,31.465422,74.385309,6,5445.02,5
450000000,15,2,2,24.889395,67.098627,7,21780.08,6
35000000,48,2,2,24.91498756,67.13870239,8,4356.02,6
6500000,49,2,2,24.882302,67.184677,1,871.2,2
13000000,50,2,2,25.018156,67.066864,4,2613.61,4
32000000,23,2,2,24.81830902,67.08087802,4,1089.0,4
4000000,49,2,2,24.90008813,67.20579822,3,871.2,7
110000000,23,2,2,24.805045,67.064323,6,5445.02,6
12800000,51,2,2,24.964623,67.168558,6,2613.61,5
17000000,52,2,2,24.939604,67.095909,5,1306.8,4
40000000,53,2,2,24.906134,67.023983,8,3648.16,11
59500000,49,2,2,24.956491,67.219341,5,3811.51,5
71500000,49,2,2,24.956491,67.219341,5,5445.02,5
55000000,49,2,2,24.956491,67.219341,4,3811.51,4
59500000,49,2,2,24.956491,67.219341,6,3811.51,5
68500000,49,2,2,24.956491,67.219341,5,5445.02,5
58500000,49,2,2,24.956491,67.219341,5,3811.51,4
67000000,49,2,2,24.956491,67.219341,5,5445.02,5
120000000,54,2,2,24.865828,67.088388,5,5445.02,5
58500000,49,2,2,24.956491,67.219341,5,3811.51,4
58000000,49,2,2,24.956491,67.219341,5,3811.51,4
110000000,54,2,2,24.865828,67.088388,5,5445.02,5
119000000,54,2,2,24.865828,67.088388,5,5445.02,5
59500000,49,2,2,24.956491,67.219341,5,3811.51,4
19000000,55,2,2,24.86767062,67.1945917,4,2613.61,4
91500000,23,2,2,24.79966354,67.0553894,6,6534.02,5
20000000,52,2,2,24.911726,67.098014,3,1306.8,2
85000000,52,2,2,24.910435,67.090523,6,5445.02,6
60000000,52,2,2,24.899565,67.081322,4,2640.83,4
120000000,52,2,2,24.90628,67.086254,6,6534.02,6
100000000,52,2,2,24.899672,67.094536,9,2613.61,9
105000000,56,2,2,24.893299,67.103462,6,3811.51,6
250000000,52,2,2,24.90628,67.086254,6,16335.06,4
55000000,52,2,2,24.910435,67.090523,3,3648.16,5
95000000,15,2,2,24.959894,67.188631,6,5989.52,7
20000000,57,2,2,25.005301,67.30881,3,2178.01,3
14500000,57,2,2,25.00574,67.316385,5,3811.51,5
45000000,48,2,2,24.920687,67.116428,4,2885.86,4
21000000,57,2,2,25.005301,67.30881,3,2178.01,3
85000000,15,2,2,24.959894,67.188631,6,5989.52,6
72500000,58,2,2,24.941744,67.053638,8,4900.52,8
77500000,15,2,2,24.959894,67.188631,9,5989.52,8
120000000,52,2,2,24.882174,67.067306,7,4356.02,6
120000000,23,2,2,24.805045,67.064323,3,3049.21,4
95000000,52,2,2,24.90628,67.086254,5,6534.02,5
70000000,15,2,2,24.959894,67.188631,6,5989.52,6
60000000,15,2,2,24.937425,67.182856,5,5445.02,4
110000000,52,2,2,24.90628,67.086254,6,8167.53,6
12500000,59,2,2,25.07576,67.105412,5,2994.76,4
9205000,60,2,2,25.07588167,67.10603714,4,2994.76,3
150000000,52,2,2,24.90628,67.086254,7,10890.04,7
110000000,58,2,2,24.935635,67.05102,8,8167.53,8
110000000,56,2,2,24.88483047,67.10713196,6,95287.85,6
40000000,61,2,2,24.989559,67.067714,5,1306.8,4
70000000,15,2,2,24.937425,67.182856,6,5445.02,5
70000000,62,2,2,24.876976,67.069237,4,2395.81,4
49500000,49,2,2,24.89321,67.195473,5,3811.51,4
95000000,15,2,2,24.959894,67.188631,6,5989.52,7
40000000,52,2,2,24.939604,67.09591,4,4356.02,3
8500000,49,2,2,24.89321,67.195473,5,1089.0,4
90000000,56,2,2,24.893299,67.103462,6,3811.51,5
7000000,63,2,2,24.969758,67.072692,3,925.65,3
6500000,58,2,2,24.929369,67.045226,2,871.2,3
43500000,23,2,2,24.782215,67.074537,5,1089.0,4
72500000,58,2,2,24.941744,67.053638,8,4900.52,8
90000000,52,2,2,24.91672708,67.08287172,8,6534.02,6
